Time (Years),"Sept 1, 1995 Spot Rates","Sept 2, 2005 Discount Factors","Sept 3, 2015 Par Rates",,par from discount,forward from discount,spot rates from discount factors,par from spot ,discount factor from spot rates,forward rate from Spot Rates,discount from par,spot from par,forward from par
,,,,,,,,,,,,,
0.5,0.0552,0.98217355,0.0024,,,,0.0363,,0.9731413,0.028018985,,,
1,0.056011204,0.964282531,0.0036,,,,0.036703671,,0.946256852,0.028993101,,,
1.5,0.056948904,0.946310257,0.00527,,,,0.037130322,,0.919220023,0.029863142,,,
2,0.057865009,0.928353994,0.0071,,,,0.037518652,,0.892179935,0.030326601,,,
2.5,0.058605551,0.910617473,0.00878,,,,0.037805827,,0.865534295,0.030065719,,,
3,0.059010137,0.893403571,0.01,,,,0.037927431,,0.839902871,0.030380964,,,
3.5,0.059391837,0.876263036,0.01132625,,,,0.038098025,,0.81477381,0.030426115,,,
4,0.059689811,0.859354303,0.01258,,,,0.038254753,,0.790360815,0.030502939,,,
4.5,0.059939187,0.842667262,0.01376875,,,,0.038404768,,0.76662039,0.030686638,,,
5,0.060176524,0.826180083,0.0149,,,,0.038555424,,0.743456593,0.031782868,,,
5.5,0.060575713,0.809765201,0.016033036,,,,0.038735972,,0.720204131,0.032237787,,,
6,0.060986432,0.793502006,0.017102857,,,,0.03892379,,0.697362123,0.032610155,,,
6.5,0.061392981,0.777391091,0.01809625,,,,0.039117901,,0.674993571,0.032864595,,,
7,0.061778945,0.761434698,0.019,,,,0.039317309,,0.653176476,0.032963516,,,
7.5,0.062127123,0.745636612,0.019800893,,,,0.039520997,,0.632001947,0.032867125,,,
8,0.06241948,0.730002045,0.020485714,,,,0.039727921,,0.611572429,0.032533609,,,
8.5,0.062637133,0.714537533,0.02104125,,,,0.039937012,,0.592000103,0.031919535,,,
9,0.062760389,0.699250828,0.021454286,,,,0.040147165,,0.573405463,0.030980542,,,
9.5,0.062768835,0.6841508,0.021711607,,,,0.040357246,,0.5559161,0.02967239,,,
10,0.06264151,0.669247337,0.0218,,,,0.04056608,,0.539665732,0.031289254,,,
10.5,0.062685112,0.654491232,0.021995776,,,,0.040781364,,0.523044086,0.031182023,,,
11,0.062714706,0.639920126,0.022139077,,,,0.040997443,,0.506988698,0.031129737,,,
11.5,0.062737041,0.625538983,0.02223925,,,,0.041213824,,0.491451823,0.031148908,,,
12,0.062759162,0.611353065,0.022305641,,,,0.041429996,,0.476381954,0.031256965,,,
12.5,0.062788423,0.597367892,0.022347596,,,,0.041645429,,0.461724329,0.031472383,,,
13,0.06283251,0.58358921,0.022374462,,,,0.041859573,,0.447421388,0.031814865,,,
13.5,0.06289947,0.570022958,0.022395583,,,,0.042071856,,0.433413214,0.032305596,,,
14,0.062997753,0.556675235,0.022420308,,,,0.042281682,,0.419637932,0.032967585,,,
14.5,0.063136269,0.543552268,0.022457981,,,,0.042488432,,0.406032106,0.033826134,,,
15,0.063324458,0.530660389,0.022517949,,,,0.04269146,,0.39253111,0.034909455,,,
15.5,0.0635724,0.518006001,0.022609558,,,,0.042890093,,0.379069498,0.036249495,,,
16,0.063890936,0.50559556,0.022742154,,,,0.04308363,,0.365581376,0.037883047,,,
16.5,0.064291851,0.493435544,0.022925083,,,,0.043271339,,0.352000774,0.039853226,,,
17,0.064788099,0.48153244,0.023167692,,,,0.043452459,,0.33826203,0.042211486,,,
17.5,0.065394104,0.469892717,0.023479327,,,,0.043626196,,0.324300186,0.045020378,,,
18,0.066126162,0.458522811,0.023869333,,,,0.043791723,,0.310051411,0.048357408,,,
18.5,0.067002978,0.447429107,0.024347058,,,,0.043948181,,0.295453441,0.05232051,,,
19,0.068046391,0.436617928,0.024921846,,,,0.044094676,,0.280446045,0.057036009,,,
19.5,0.06928238,0.426095518,0.025603045,,,,0.04423028,,0.264971524,0.062670475,,,
20,0.070742475,0.415868035,0.0264,,,,0.044354032,,0.248975238,,,,
